Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,SMOKE,CH2O,SCC,FAF,TUE,NObeyesdad,CAEC_Always,CAEC_Frequently,CAEC_Sometimes,CAEC_no,CALC_Always,CALC_Frequently,CALC_Sometimes,CALC_no,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking
1,0.105698568,-0.002828264,-0.23571264,1,1,-0.836278979,0.314683916,0,1.20659365,0,-1.171141464,0.59743795,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,-1.027051904,-1.606290829,-1.170931181,1,1,-0.836278979,0.338364103,0,-0.048349297,0,0.021774832,0.636512921,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
0,-1.027051904,0.128451382,-1.43001211,1,1,-1.060331511,-1.913422776,0,-0.195644312,0,-0.138022271,1.755239292,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
0,-0.507929054,0.120090351,1.644770421,1,1,1.039171209,0.338364103,0,-0.584034619,0,0.579896229,0.271454999,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,1.371196516,2.450367067,0.22405435,1,1,0.438396998,-1.11980122,0,-0.081469391,0,1.176485598,0.523111299,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,-1.004504354,0.552962708,-1.37743805,1,1,0.888668207,0.338364103,0,0.17771606,0,1.131226353,0.636512921,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,1.062110702,0.623825312,0.941560245,1,1,-0.852707923,0.338364103,0,-0.048349297,0,-1.171141464,0.133187034,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1,1.063596654,0.571586046,1.149361904,1,1,-1.966297732,0.338364103,0,-0.048349297,0,-0.456996159,-1.024343589,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1,-1.202862635,-0.002805357,-0.678111332,0,1,-0.836278979,0.338364103,0,1.595164744,1,0.021774832,0.636512921,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
0,0.379433942,-0.703345253,0.886616177,1,1,1.039171209,0.338364103,0,0.990767386,0,-1.171141464,-0.661205618,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
0,-0.675430442,-0.57547874,-0.867657428,1,1,1.039171209,0.338364103,0,1.595164744,0,0.021774832,-1.024343589,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
